epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5240.77,0.79862,1.50175,0.80052,1.11527,0.86294,0.61891,0.65717,0.52843,0.86666,0.61948,0.65771,0.49626,0.88824,1.6842,1.81367,1.22414,0.007129,0.007129,0.007129
31,5416.86,0.80126,1.49979,0.79398,1.11451,0.86123,0.63376,0.66716,0.53422,0.85753,0.63348,0.66607,0.5039,0.8785,1.64125,1.77439,1.21276,0.00703,0.00703,0.00703
32,5592.65,0.79251,1.48678,0.79007,1.10865,0.8466,0.63134,0.6591,0.53347,0.84941,0.63312,0.66085,0.50482,0.88829,1.66788,1.83997,1.19949,0.006931,0.006931,0.006931
33,5767.44,0.78455,1.48797,0.77842,1.10515,0.86687,0.63854,0.6691,0.54089,0.86877,0.63917,0.67001,0.50533,0.87517,1.65248,1.69138,1.21215,0.006832,0.006832,0.006832
34,5941.66,0.78513,1.46991,0.76357,1.10126,0.88995,0.62464,0.66877,0.54618,0.89337,0.62388,0.66811,0.51301,0.87203,1.65568,1.68444,1.20481,0.006733,0.006733,0.006733
35,6115.93,0.78472,1.4746,0.77079,1.10389,0.88079,0.63752,0.67203,0.54774,0.88026,0.63671,0.67204,0.51205,0.85536,1.62482,1.751,1.20126,0.006634,0.006634,0.006634
36,6292.32,0.7768,1.46778,0.76323,1.0988,0.8741,0.6342,0.66907,0.54742,0.8733,0.63447,0.66996,0.51694,0.83656,1.60686,1.77642,1.17852,0.006535,0.006535,0.006535
37,6468.81,0.76823,1.45439,0.75654,1.09638,0.8885,0.6333,0.67194,0.55213,0.88515,0.63431,0.67192,0.5208,0.84519,1.6461,1.87556,1.1921,0.006436,0.006436,0.006436
38,6645.3,0.77638,1.4508,0.74722,1.09845,0.90759,0.63025,0.67223,0.54951,0.91304,0.63234,0.67401,0.51741,0.84232,1.62705,1.70532,1.19076,0.006337,0.006337,0.006337
39,6820.28,0.76523,1.43446,0.74014,1.09167,0.86687,0.64694,0.67404,0.55008,0.86767,0.64803,0.67441,0.51866,0.84538,1.57906,1.63751,1.19342,0.006238,0.006238,0.006238
40,6995.68,0.76733,1.43166,0.74213,1.09443,0.89921,0.63108,0.67227,0.55062,0.89802,0.63319,0.67252,0.51879,0.84093,1.60037,1.68646,1.19216,0.006139,0.006139,0.006139
41,7171.78,0.76301,1.42823,0.73094,1.08772,0.86234,0.64453,0.67398,0.5527,0.87061,0.64094,0.67421,0.52025,0.81653,1.58649,1.65299,1.1622,0.00604,0.00604,0.00604
42,7348.01,0.76602,1.43053,0.736,1.08697,0.88411,0.64525,0.6813,0.56255,0.88942,0.64213,0.68137,0.5306,0.80427,1.54241,1.58589,1.15566,0.005941,0.005941,0.005941
43,7523.78,0.75541,1.41949,0.71899,1.08727,0.86762,0.65449,0.68067,0.56202,0.89083,0.64098,0.67971,0.5315,0.81059,1.56639,1.62849,1.15955,0.005842,0.005842,0.005842
44,7700.02,0.75193,1.40747,0.71469,1.08058,0.87144,0.6451,0.67797,0.56071,0.87382,0.64553,0.67889,0.52674,0.81125,1.57928,1.68928,1.1573,0.005743,0.005743,0.005743
45,7874.5,0.74952,1.39312,0.70729,1.08104,0.88324,0.65234,0.68136,0.56355,0.88175,0.65241,0.68252,0.53099,0.8228,1.59887,1.66308,1.15679,0.005644,0.005644,0.005644
46,8048.61,0.74719,1.41105,0.7067,1.07922,0.90421,0.64702,0.68601,0.56573,0.90314,0.64665,0.68608,0.53152,0.81425,1.56506,1.59349,1.15798,0.005545,0.005545,0.005545
47,8222.29,0.74341,1.39913,0.70825,1.0785,0.90576,0.64834,0.68419,0.56977,0.90235,0.64679,0.68312,0.5298,0.82333,1.58027,1.57578,1.17654,0.005446,0.005446,0.005446
48,8396.18,0.73885,1.37389,0.70052,1.07547,0.88231,0.6545,0.6832,0.56649,0.88015,0.65351,0.68243,0.52576,0.81763,1.59506,1.59967,1.17236,0.005347,0.005347,0.005347
49,8570.31,0.73619,1.37868,0.69208,1.07382,0.92564,0.63662,0.68576,0.56985,0.92464,0.63699,0.6858,0.52947,0.8128,1.58998,1.56594,1.16844,0.005248,0.005248,0.005248
50,8744.9,0.73927,1.38524,0.69289,1.07561,0.9037,0.64642,0.68572,0.57305,0.89921,0.64882,0.68528,0.53362,0.81264,1.59635,1.55742,1.17123,0.005149,0.005149,0.005149
51,8918.53,0.73141,1.35967,0.68318,1.07334,0.91116,0.64187,0.68476,0.57095,0.91137,0.64186,0.68467,0.53212,0.80179,1.57711,1.56541,1.15898,0.00505,0.00505,0.00505
52,9092.33,0.7254,1.35457,0.67457,1.06944,0.88107,0.64934,0.68473,0.57145,0.88227,0.64938,0.68472,0.53437,0.7992,1.57516,1.57247,1.15247,0.004951,0.004951,0.004951
53,9265.37,0.7362,1.36688,0.67847,1.07058,0.87725,0.65254,0.6851,0.5728,0.8767,0.65272,0.68472,0.53722,0.79451,1.57545,1.59763,1.15274,0.004852,0.004852,0.004852
54,9438.89,0.72013,1.35461,0.66988,1.06488,0.88389,0.65351,0.68706,0.57608,0.8832,0.65318,0.68592,0.53883,0.79074,1.57082,1.58212,1.15038,0.004753,0.004753,0.004753
55,9613.68,0.72051,1.35164,0.66609,1.06316,0.8828,0.65387,0.68942,0.57869,0.8822,0.65362,0.68863,0.5407,0.7909,1.55447,1.57735,1.14797,0.004654,0.004654,0.004654
56,9784.93,0.72634,1.34478,0.66379,1.06661,0.89076,0.65062,0.68983,0.58078,0.89032,0.6505,0.68973,0.5428,0.78909,1.53356,1.56285,1.14325,0.004555,0.004555,0.004555
57,9956.17,0.71227,1.32679,0.6589,1.05967,0.90199,0.6525,0.69124,0.57897,0.90142,0.6521,0.69089,0.54408,0.78202,1.51841,1.55153,1.13267,0.004456,0.004456,0.004456
58,10127.6,0.71037,1.32346,0.64828,1.0595,0.88289,0.65899,0.69079,0.57773,0.88256,0.65887,0.69127,0.54495,0.77972,1.51205,1.58886,1.12988,0.004357,0.004357,0.004357
59,10298.5,0.70854,1.32398,0.64459,1.05648,0.89476,0.65326,0.6912,0.57988,0.89482,0.65345,0.69083,0.54677,0.77419,1.50114,1.59203,1.12481,0.004258,0.004258,0.004258
60,10470,0.71166,1.31923,0.64647,1.06016,0.89127,0.65586,0.69188,0.58134,0.8912,0.65595,0.69089,0.5482,0.77136,1.49324,1.59716,1.12234,0.004159,0.004159,0.004159
61,10643.3,0.70351,1.32148,0.63558,1.05597,0.89711,0.65356,0.69209,0.58143,0.89698,0.65416,0.69148,0.55014,0.77058,1.48846,1.58349,1.12188,0.00406,0.00406,0.00406
62,10816.9,0.70354,1.3026,0.63516,1.05355,0.90213,0.65102,0.69252,0.58381,0.9016,0.65178,0.69186,0.54965,0.77123,1.49519,1.57964,1.12216,0.003961,0.003961,0.003961
63,10989.7,0.70064,1.31111,0.62734,1.05153,0.9097,0.64884,0.69323,0.58568,0.90914,0.64905,0.69251,0.5505,0.7683,1.49417,1.56135,1.12181,0.003862,0.003862,0.003862
64,11162.4,0.69533,1.29986,0.62494,1.04988,0.90735,0.65079,0.69354,0.58563,0.90853,0.65151,0.69265,0.55126,0.76579,1.4993,1.56239,1.12013,0.003763,0.003763,0.003763
65,11334.7,0.70168,1.28908,0.62359,1.04923,0.90272,0.65239,0.69334,0.58615,0.9044,0.65317,0.69326,0.55157,0.76377,1.50418,1.56612,1.11852,0.003664,0.003664,0.003664
66,11507.1,0.69777,1.29239,0.623,1.04906,0.91102,0.6511,0.69419,0.58745,0.91184,0.65165,0.6937,0.55396,0.76253,1.50473,1.55767,1.11748,0.003565,0.003565,0.003565
67,11680.2,0.69357,1.28897,0.61498,1.04944,0.90575,0.652,0.69449,0.58928,0.90657,0.65284,0.69413,0.55376,0.76359,1.50411,1.5554,1.11852,0.003466,0.003466,0.003466
